Virginia Vultures,VV
QB,Taylor Heinicke,23,2015,86,85,95,85,87,55,1,5
Qb,Derek Devine,32,2007,75,65,85,7797,20,0.5,5
Rb,Bruce Perry,29,2008,82,75,95,85,87,62,1,5
Rb,Keenan Reynolds,23,2016,74,75,88,81,77,61,1,5
Wr,David Clowney,31,2007,75,93,71,65,83,71,1,5
Wr,James Roe,42,2000,81,88,70,54,78,86,70,1,5
Wr,Edgar Poe,24,2016,88,53,89,77,97,83,1,5
Wr,Joey Haynos,27,2010,77,82,85,72,79,65,1,5
Ol,Tony Davis,28,2011,72,52,92,90,83,76,1,5
Ol,Johnny Culbreath,27,2012,83,73,73,53,92,90,1,5
Ol Ryan Cave,24,2016,105,78,85,87,91,89,1,5
Ol,Paul Fenaroli,25,2016,62,71,87,78,77,69,1,5
Ol,David Love,28,2012,72,75,95,77,87,84,1,5
K,Delbert Alvarado,26,2012,60,85,95,98,95,74,0.5,5
K,Brett Bowden,33,2006,64,88,85,91,87,79,.5,5
s,Aaron Rouse,25,2014,82,52,83,76,91,79,1,5
S,Tom Williams,24,2013,86,64,89,65,89,90,1,5
Cb,Darius Vinnett,28,2009,77,82,90,86,90,50,1,5
Cb,DeAngelo Willingham,26,2013,81,66,85,75,90,46,1,5
Dl,Eric Norwood,29,2010,60,7088,79,89,67,1,5
Dl,Jake Metz,27,2013,63,63,91,75,91,45,1,5
Dl,Larry Webster,30,2013,71,67,78,87,96,56,1,5
Lb,Neal Howey,27,2011,69,92,83,75,85,94,1,5
Lb,LeRon Furr,25,2015,72,89,86,75,89,89,1,5
End Players
Kentucky Lynx,KY
Qb,Jerod Lorenzon,28,2011,84,81,96,86,79,20,1,5
Qb,Brandon Doughty,24,2016,78,65,94,84,75,44,1,5
Rb,Senoris Perry,26,2013,86,77,84,56,87,87,1,5
Rb,Leon Allen,23,2014,87,78,94,95,88,79,1,5
Wr,Andre Ralston,28,2009,77,78,79,72,88,86,1,5
Wr,Mario Urrutia,29,2013,67,64,92,77,90,76,1,5
Wr,Josh Chichester,25,2015,68,53,91,76,97,85,1,5
Wr,Chris Spalding,25,2013,91,62,90,85,54,76,1,5
Ol,Whit Andrews,25,2015,79,96,90,94,89,98,1,5
Ol,Hank Hodges,24,2016,64,54,91,84,89,92,1,5
Ol,Nathan Dirkes,25,2015,67,65,93,87,76,75,1,5
Ol,Charlie Churchill,23,2016,88,67,80,75,77,78,1,5
Ol,Brodie Downs,23,2016,85,85,71,82,73,74,1,5
K,Tyler Tate,24,2016,68,56,95,90,91,83,0.5,5
K,Austin MacGinnis,24,2016,78,77,95,90,80,76,0.5,5
S,Omar Brown,26,2012,75,78,95,94,88,84,1,5
S,Norman Wolf,24,2016,73,55,81,81,90,75,1,5
Cb,Austen Lane,27,2013,95,65,85,81,90,70,1,5
Cb,Jonathan Dowling,24,2013,83,50,78,79,92,50,1,5
Dl,Quanterus Smith,28,2010,78,87,85,99,93,82,1,5
Dl,Chris Jones,27,2012,87,60,85,88,80,74,1,5
Dl,Jarius Wynn,29,2007,74,87,92,87,72,75,1,5
Lb,Jason Dimanche,25,2013,62,65,91,74,62,64,1,5
Lb,Dan Molls,25,2013,78,69,90,71,61,54,1,5
End Players
Canton Legacy,CL
Qb,Charlie Frye,29,2009,60,65,93,85,79,54,1,5
Qb,James Knapke,23,2015,63,51,83,80,76,71,1,5
Rb,Dri Archer,27,2015,93,46,91,70,70,83,60,1,5
Rb,Beau Blankenship,26,2015,83,60,76,53,90,87,1,5
Wr,Stedman Bailey,24,2015,64,52,85,70,87,77,1,5
Wr,Duron Carter,28,2012,71,76,76,93,81,25,1,5
Wr,Roy Roundtree,25,2016,95,75,85,87,96,85,1,5
Wr,AJ Barker,25,2015,59,83,88,88,90,95,1,5
Ol,Campbell Allison,23,2015,93,58,93,84,82,85,1,5
Ol,Dillon Guy,29,2009,81,82,93,84,93,82,1,5
Ol,Michael Bomero,27,2013,63,66,81,85,77,74,1,5
Ol,Michael Bowie,24,2013,66,67,89,82,85,72,1,5
Ol,Joe Oglethorp,29,2007,76,77,78,74,79,89,1,5
K,Kaleb Patterson,24,2016,62,64,90,92,85,70,0.5,5
K,Anthony Melchiori,23,2016,62,82,85,94,93,63,0.5,5
S,Dominic Clark,25,2013,71,50,92,76,92,50,1,5
S,Sean Baker,27,2012,71,67,89,73,88,65,1,5
Cb,Charles Gaines,23,2012,72,47,87,76,91,35,1,5
Cb,Pierre Desir,25,2015,77,48,93,83,92,47,1,5
Dl,Dante Rumph,28,2009,57,79,85,85,78,83,1,5
Dl,Kendall Montgomery,24,2015,83,46,92,81,77,61,1,5
Dl,Curtis Young,28,2011,82,55,87,83,75,70,1,5
Lb,Evan Frierson,28,2009,82,87,94,85,82,87,1,5
Lb,JD Griggs,26,2012,67,55,76,78,84,51,1,5
End Players
Birmingham Pounders,BP
Qb,Dan Lefevre,27,2011,82,95,90,104,100,77,21,1,5
Qb,Brody Croyle,27,2011,81,53,95,92,77,20,0.5,5
Rb,Mario Fannin,28,2009,62,52,90,78,89,66,1,5
Rb,Fitzgerald Toussaint,26,2012,62,85,85,50,85,80,1,5
Wr,Rashard Burkette,25,2013,81,75,93,79,89,83,1,5
Wr,Wesley Powell,26,2012,80,69,83,82,89,70,1,5
Wr,Roddy White,30,2007,68,96,94,109,100,106,1,5
Ol,Chris Hubbard,25,2013,62,61,91,77,73,81,1,5
Ol,BJ Finney,24,2016,64,63,92,76,75,78,1,5
Ol,D'Anthony Batiste,30,2007,81,84,63,84,78,85,1,5
Ol,Cory Watman,27,2012,63,50,88,77,71,76,1,5
Ol,Larry Banks,26,2012,90,78,92,94,83,88,1,5
K,Cody Kendall,28,2008,53,77,88,87,96,67,0.5,5
K,Kenny Spencer,25,2014,63,50,94,92,73,71,0.5,5
